rcp,parameter,attribute,r,p,p_fdr,sig_fdr
26,min_3day,p_seasonality,-0.34811168137190374,3.9448556058234873e-19,2.2195231540457423e-18,True
26,min_3day,frac_snow,0.23037648004079425,6.334349856090051e-09,1.772233402359621e-08,True
26,min_3day,aridity,-0.5148427169733311,2.493057461385853e-43,7.7360328498761e-42,True
26,min_7day,frac_high_perc,-0.25730816009262286,7.561377472787976e-11,2.546990306623318e-10,True
26,min_7day,runoff_ratio,0.5968815654870314,3.3349351871141196e-61,2.6269027935421987e-59,True
26,min_7day,area,-0.13284832787592685,0.0009046549195931138,0.0015781373725099633,True
26,min_7day,dpsbar,0.41743003490250374,1.4030431577890616e-27,1.4085452878196068e-26,True
26,min_7day,elev_mean,0.3915445421345089,3.471561788635286e-24,2.843903417250026e-23,True
26,min_7day,p_seasonality,-0.3675056596937132,2.7125885952709442e-21,1.7920585300370626e-20,True
26,min_7day,frac_snow,0.199436131067843,5.433728975825333e-07,1.2791122922402622e-06,True
26,min_7day,aridity,-0.5354365222424494,2.315786113712287e-47,9.485459921765526e-46,True
26,min_90day,frac_high_perc,-0.13184723938177179,0.0009898897821742111,0.0017122417853824192,True
26,min_90day,runoff_ratio,0.5523343784369632,6.954487002123806e-51,3.74810246851304e-49,True
26,min_90day,area,-0.12017788350906337,0.0027027945256568515,0.004428258550836186,True
26,min_90day,dpsbar,0.3866320668951092,1.4171091095306164e-23,1.107724983327749e-22,True
26,min_90day,elev_mean,0.35176365534111914,1.5853177023069404e-19,9.171555520691e-19,True
26,min_90day,p_seasonality,-0.21058509261913033,1.1792159151745017e-07,2.966872474542235e-07,True
26,min_90day,frac_snow,0.20880130669984143,1.5143793776996784e-07,3.791502402847117e-07,True
26,min_90day,aridity,-0.48815046058265504,1.693959766255589e-38,4.033987908478426e-37,True
26,month_01_Oct,frac_high_perc,-0.35017381826657223,2.361073212700543e-19,1.3506921619024336e-18,True
26,month_01_Oct,runoff_ratio,0.4786712963163031,6.996568516890446e-37,1.438505993707518e-35,True
26,month_01_Oct,area,-0.017290629555037976,0.6671634152042749,0.7079537172737591,False
26,month_01_Oct,dpsbar,0.33414382689751043,1.156252371026547e-17,5.861398158075168e-17,True
26,month_01_Oct,elev_mean,0.3555695376533518,6.053103573453677e-20,3.6247824907699213e-19,True
26,month_01_Oct,p_seasonality,-0.3384260776361816,4.180022294160162e-18,2.172762857472084e-17,True
26,month_01_Oct,frac_snow,0.2565638989169826,8.606855683355058e-11,2.868570098869305e-10,True
26,month_01_Oct,aridity,-0.45336443413940186,8.302736514901583e-33,1.1646578344190713e-31,True
26,month_02_Nov,frac_high_perc,-0.09072831417933065,0.023756310279407316,0.0334154694040015,True
26,month_02_Nov,runoff_ratio,0.23202564547792787,4.9031924653837035e-09,1.3908224610949896e-08,True
26,month_02_Nov,area,0.04193822125949991,0.2967405796063477,0.33837678565356355,False
26,month_02_Nov,dpsbar,0.05178814464864699,0.1974611156596327,0.23593953609739077,False
26,month_02_Nov,elev_mean,0.12497822951543566,0.0018060003250599127,0.003036690201742776,True
26,month_02_Nov,p_seasonality,-0.2701431739108066,7.591341896042609e-12,2.718018916625046e-11,True
26,month_02_Nov,frac_snow,0.012327960311077232,0.7591448956058421,0.7892024092389668,False
26,month_02_Nov,aridity,-0.21455157561508267,6.708077001751833e-08,1.7172677124484692e-07,True
26,month_03_Dec,frac_high_perc,0.17721862839247593,8.888700501668934e-06,1.8728455378002035e-05,True
26,month_03_Dec,runoff_ratio,-0.247112534969403,4.30148196612525e-10,1.342901686985444e-09,True
26,month_03_Dec,area,0.23175048278192475,5.117937023261233e-09,1.4397712944559074e-08,True
26,month_03_Dec,dpsbar,-0.1976410661972804,6.89433369152237e-07,1.6155143478532966e-06,True
26,month_03_Dec,elev_mean,-0.13129365973776033,0.0010401493909076064,0.0017901058425031746,True
26,month_03_Dec,p_seasonality,0.19881954434308477,5.898202318354952e-07,1.3852658655952914e-06,True
26,month_03_Dec,frac_snow,0.06543140431597304,0.10331237817670501,0.13012530781420165,False
