rcp,parameter,attribute,r_partial,p,p_fdr,sig_fdr
26,month_06_Mar,p_seasonality,-0.11447079105097657,0.004286853257355229,0.010055027535576664,True
26,month_06_Mar,frac_snow,-0.08969690178323211,0.025401664905220625,0.046831052993986995,True
26,month_07_Apr,frac_high_perc,0.10499013602605643,0.008836671825419525,0.01900209096950508,True
26,month_07_Apr,runoff_ratio,0.12113736595588222,0.0024963134747781465,0.006336251766009119,True
26,month_07_Apr,area,0.03997975604128254,0.31989152572802493,0.39425420502381064,False
26,month_07_Apr,dpsbar,-0.11509646222234357,0.004079345602180625,0.009695208646031406,True
26,month_07_Apr,elev_mean,-0.2491253060349383,3.0704217315645076e-10,2.6200932109350464e-09,True
26,month_07_Apr,p_seasonality,-0.16359046324111567,4.2023160736033743e-05,0.00015954555940460267,True
26,month_07_Apr,frac_snow,-0.1905613916227377,1.7261586562999893e-06,8.315258903466614e-06,True
26,month_08_May,frac_high_perc,0.1448649221914572,0.0002924877032018731,0.0009393153479171266,True
26,month_08_May,runoff_ratio,0.22883688418577214,8.031148106594987e-09,5.7567269628072864e-08,True
26,month_08_May,area,-0.012990271602982953,0.7466366815079893,0.7992669852224116,False
26,month_08_May,dpsbar,0.03201078182078934,0.4258568274634849,0.5012855863295612,False
26,month_08_May,elev_mean,-0.10099487314562473,0.011797309241796842,0.0243557352088709,True
26,month_08_May,p_seasonality,-0.28247415003595844,7.412904799902791e-13,9.098579042072466e-12,True
26,month_08_May,frac_snow,-0.1097325524750215,0.006194915497195428,0.01391138918668447,True
26,month_09_Jun,frac_high_perc,0.0010320552146720133,0.9795230462190094,0.9828137171469569,False
26,month_09_Jun,runoff_ratio,0.0022878748796768475,0.9546258463355071,0.9661042454813535,False
26,month_09_Jun,area,0.016488324472773798,0.6817421488944626,0.7422125946651744,False
26,month_09_Jun,dpsbar,-0.028060599508148265,0.48518023367117735,0.5616556710198642,False
26,month_09_Jun,elev_mean,0.09372153207797916,0.01949298450407275,0.03756067551752513,True
26,month_09_Jun,p_seasonality,0.2017517536013555,3.9839974877823953e-07,2.150398644007847e-06,True
26,month_09_Jun,frac_snow,0.16981368897665872,2.09849790345018e-05,8.507937201318376e-05,True
26,month_10_Jul,frac_high_perc,-0.08531949386635268,0.03352454090937527,0.05995523656607335,False
26,month_10_Jul,runoff_ratio,0.23921089366177747,1.5704937201489827e-09,1.2563949761191862e-08,True
26,month_10_Jul,area,-0.047380311316678435,0.23840031055560174,0.3093593137133672,False
26,month_10_Jul,dpsbar,-0.11504368063103829,0.0040964930460784445,0.009710205738852609,True
26,month_10_Jul,elev_mean,0.03907907750135139,0.33092372736545667,0.40671253280940795,False
26,month_10_Jul,p_seasonality,0.3910449865073352,4.0097514144111664e-24,2.1133748631249443e-22,True
26,month_10_Jul,frac_snow,0.23115812644322747,5.611655767276569e-09,4.1900363062331717e-08,True
26,month_11_Aug,frac_high_perc,0.060660173548301305,0.13104625822810415,0.18786791579581008,False
26,month_11_Aug,runoff_ratio,0.3110586927027582,2.129245640817879e-15,3.532970544764481e-14,True
26,month_11_Aug,area,-0.13151628891859146,0.001019660181906449,0.002863998504665136,True
26,month_11_Aug,dpsbar,-0.000837251096141009,0.9833875225679559,0.9855874946542378,False
26,month_11_Aug,elev_mean,0.033411792860251935,0.4058763865015941,0.4829551690643138,False
26,month_11_Aug,p_seasonality,0.24294839596716372,8.559802851615537e-10,7.036315004630753e-09,True
26,month_11_Aug,frac_snow,0.16890644680585282,2.325685183057385e-05,9.22041559300627e-05,True
26,month_12_Sep,frac_high_perc,-0.04806479297265265,0.23167837108757858,0.3017206693233581,False
26,month_12_Sep,runoff_ratio,0.2983535331407827,3.112095102645546e-14,4.571208544213786e-13,True
26,month_12_Sep,area,-0.135544765111901,0.0007076601715714043,0.002065353464911981,True
26,month_12_Sep,dpsbar,-0.038291893151988554,0.34076442565379367,0.41597401278719226,False
26,month_12_Sep,elev_mean,-0.07267645672970771,0.07032170117711393,0.11191517629608186,False
26,month_12_Sep,p_seasonality,0.016504181937605694,0.6814528283140134,0.7422125946651744,False
26,month_12_Sep,frac_snow,0.06295410687513783,0.11706741214299354,0.1691812923872939,False
26,number_of_reversals,frac_high_perc,-0.17034590219129603,1.9752050674513105e-05,8.08120429423002e-05,True
26,number_of_reversals,runoff_ratio,0.07232427685901188,0.07169663434404663,0.11369944136684211,False
26,number_of_reversals,area,0.06810106742990232,0.08995794662631743,0.13592296825831438,False
